State,X-distance,Y-distance,Cost,Pos_x,Pos_y,Orientation,Goal_x,Goal_y,R1,R2,R3,R4,R5,R6,R7,R8,G1,G2,G3,G4,G5,G6,G7,G8
BASH,465,503,2074,99,157,RIGHT,490,550,3,5,2,8,3,3,2,5,8,2,9,4,4,7,9,8
BASH,465,503,2070,101,157,RIGHT,490,550,2,6,4,3,4,5,6,5,8,2,9,4,4,7,9,8
RIGHT,465,503,2066,103,157,RIGHT,490,550,4,6,1,4,7,5,2,9,8,2,9,4,4,7,9,8
FORWARD,465,503,2065,103,157,UP,490,550,4,6,1,4,7,5,2,9,8,2,9,4,4,7,9,8
LEFT,465,503,2063,103,158,UP,490,550,4,1,7,5,9,2,9,4,8,2,9,4,4,7,9,8
BASH,465,503,2062,103,158,RIGHT,490,550,4,1,7,5,9,2,9,4,8,2,9,4,4,7,9,8
RIGHT,465,503,2058,105,158,RIGHT,490,550,7,4,1,9,6,4,2,3,8,2,9,4,4,7,9,8
BASH,465,503,2057,105,158,UP,490,550,7,4,1,9,6,4,2,3,8,2,9,4,4,7,9,8
BASH,465,503,2053,105,160,UP,490,550,4,2,3,8,2,6,5,4,8,2,9,4,4,7,9,8
BASH,465,503,2047,105,162,UP,490,550,6,5,4,6,2,9,9,5,8,2,9,4,4,7,9,8
FORWARD,465,503,2041,105,164,UP,490,550,9,9,5,3,6,4,1,9,8,2,9,4,4,7,9,8
LEFT,465,503,2040,105,165,UP,490,550,3,3,6,4,9,3,9,7,8,2,9,4,4,7,9,8
BASH,465,503,2039,105,165,RIGHT,490,550,3,3,6,4,9,3,9,7,8,2,9,4,4,7,9,8
FORWARD,465,503,2034,107,165,RIGHT,490,550,6,5,5,9,2,7,7,8,8,2,9,4,4,7,9,8
RIGHT,465,503,2032,108,165,RIGHT,490,550,5,5,9,2,2,7,8,7,8,2,9,4,4,7,9,8
BASH,465,503,2031,108,165,UP,490,550,5,5,9,2,2,7,8,7,8,2,9,4,4,7,9,8
FORWARD,465,503,2025,108,167,UP,490,550,7,8,7,4,5,8,2,4,8,2,9,4,4,7,9,8
BASH,465,503,2023,108,168,UP,490,550,4,3,5,8,4,9,9,2,8,2,9,4,4,7,9,8
